kinnex,sample
m84132-combined-demux-from-fastq.1--29.fastq,M-NC1.hifi.fastq
m84132-combined-demux-from-fastq.1--30.fastq,M-NC2.hifi.fastq
m84132-combined-demux-from-fastq.1--31.fastq,M-NC3.hifi.fastq
m84132-combined-demux-from-fastq.1--32.fastq,M-CC1.hifi.fastq
m84132-combined-demux-from-fastq.1--33.fastq,M-CC2.hifi.fastq
m84132-combined-demux-from-fastq.1--34.fastq,M-CC3.hifi.fastq
m84132-combined-demux-from-fastq.1--35.fastq,E-NB1.hifi.fastq
m84132-combined-demux-from-fastq.2--28.fastq,E-NB2.hifi.fastq
m84132-combined-demux-from-fastq.2--29.fastq,E-NB3.hifi.fastq
m84132-combined-demux-from-fastq.2--30.fastq,E-CB1.hifi.fastq
m84132-combined-demux-from-fastq.2--31.fastq,E-CB2.hifi.fastq
m84132-combined-demux-from-fastq.2--32.fastq,E-CB3.hifi.fastq
m84132-combined-demux-from-fastq.2--33.fastq,E-NC1.hifi.fastq
m84132-combined-demux-from-fastq.2--34.fastq,E-NC2.hifi.fastq
m84132-combined-demux-from-fastq.2--35.fastq,E-NC3.hifi.fastq
m84132-combined-demux-from-fastq.3--28.fastq,E-CC1.hifi.fastq
m84132-combined-demux-from-fastq.3--29.fastq,E-CC2.hifi.fastq
m84132-combined-demux-from-fastq.3--30.fastq,E-CC3.hifi.fastq
m84132-combined-demux-from-fastq.3--31.fastq,071AMB.hifi.fastq
m84132-combined-demux-from-fastq.3--32.fastq,072AMB.hifi.fastq
m84132-combined-demux-from-fastq.3--33.fastq,081AMB.hifi.fastq
m84132-combined-demux-from-fastq.3--34.fastq,082AMB.hifi.fastq
m84132-combined-demux-from-fastq.3--35.fastq,121AMB.hifi.fastq
m84132-combined-demux-from-fastq.4--28.fastq,122AMB.hifi.fastq
m84132-combined-demux-from-fastq.4--29.fastq,bozeman1AMB.hifi.fastq
m84132-combined-demux-from-fastq.4--30.fastq,bozeman2AMB.hifi.fastq
m84132-combined-demux-from-fastq.4--31.fastq,Con6-070918-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.4--32.fastq,Con6-083018-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.4--33.fastq,Con4-070918-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.4--34.fastq,Con4-083018-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.4--35.fastq,NC2.hifi.fastq
m84132-combined-demux-from-fastq.0--36.fastq,MCE53.hifi.fastq
m84132-combined-demux-from-fastq.0--37.fastq,MCE54.hifi.fastq
m84132-combined-demux-from-fastq.0--38.fastq,MCE55.hifi.fastq
m84132-combined-demux-from-fastq.0--39.fastq,MCE56.hifi.fastq
m84132-combined-demux-from-fastq.0--40.fastq,MCE57.hifi.fastq
m84132-combined-demux-from-fastq.0--41.fastq,MCE64.hifi.fastq
m84132-combined-demux-from-fastq.0--42.fastq,MCE68.hifi.fastq
m84132-combined-demux-from-fastq.0--43.fastq,MCE70.hifi.fastq
m84132-combined-demux-from-fastq.1--36.fastq,MCE72.hifi.fastq
m84132-combined-demux-from-fastq.1--37.fastq,MCE83.hifi.fastq
m84132-combined-demux-from-fastq.1--38.fastq,MCE84.hifi.fastq
m84132-combined-demux-from-fastq.1--39.fastq,MCE85.hifi.fastq
m84132-combined-demux-from-fastq.1--40.fastq,MCE86.hifi.fastq
m84132-combined-demux-from-fastq.1--41.fastq,MCE88.hifi.fastq
m84132-combined-demux-from-fastq.1--42.fastq,MCE91.hifi.fastq
m84132-combined-demux-from-fastq.1--43.fastq,MCE94.hifi.fastq
m84132-combined-demux-from-fastq.2--36.fastq,NC3.hifi.fastq
